# FastWindTerrain synthetic terrain -- shape = hill
# generated by tools/make_terrain.py; do not edit by hand
# domain: [0.0, 1000.0] x [0.0, 1000.0] m, 51 x 51 points, dx = 20.0 m, dy = 20.0 m
# params: base=0.0, peak=100.0, sigma=150.0, slope_x=0.1, slope_y=0.0, xc=500.0, xlo=0.0, yc=500.0, ylo=0.0
# scattered: jitter = 0.4 cells, seed = 7
x,y,z
0.0000000000,0.0000000000,0.0014945339
22.4149515686,0.0000000000,0.0024321102
40.5741120689,0.0000000000,0.0035497521
52.9279827964,0.1189717310,0.0045648358
72.5999305351,0.0000000000,0.0066726586
93.1176867772,0.0000000000,0.0097611433
118.7923070263,5.2296339948,0.0171784956
133.9808313784,0.0000000000,0.0196928986
162.0389315585,7.1633430793,0.0357748188
181.2336471779,0.0000000000,0.0404200415
207.6200816895,0.0000000000,0.0578400042
225.7354953448,0.0000000000,0.0726600504
234.3080813337,0.0000000000,0.0805319863
256.9357091856,5.0580217459,0.1163156290
274.8916220788,1.3056026186,0.1290579310
302.2226155028,0.0000000000,0.1620861242
320.7639114514,0.0000000000,0.1893255903
332.9536187195,0.0000000000,0.2079442581
362.8863995709,0.0000000000,0.2545733568
377.0263547260,1.3689898161,0.2847735534
399.2509500219,0.0000000000,0.3085259967
424.7100717044,3.1839109397,0.3657426402
435.9055441716,1.1907793641,0.3623132134
460.4031440610,6.0021999292,0.4262854007
483.6711246310,0.0000000000,0.3843081674
507.6827975599,0.0000000000,0.3860852633
518.6899651486,4.1142548730,0.4201698721
534.4317525546,0.0000000000,0.3765400635
552.6273161128,2.6914537046,0.3858588328
584.2331338594,1.1684150444,0.3388754976
606.0076449893,0.0000000000,0.3011609992
623.1247258604,1.5099180337,0.2854282830
641.2783232685,0.0000000000,0.2480980495
665.4394844882,7.1148975217,0.2461956726
679.5855733987,2.6264352876,0.2001152482
692.9707108416,3.2238723409,0.1815037319
722.3540616724,7.8895350315,0.1533332257
745.1507965858,0.0000000000,0.1016808013
758.1726630791,2.6984434541,0.0933161298
772.3610068489,0.0000000000,0.0743596869
794.6887740625,0.0000000000,0.0561237675
812.9432707093,4.2917278156,0.0482324744
834.0694435523,0.0000000000,0.0323727406
858.2551952501,5.9427515860,0.0254443947
873.2893008192,0.0000000000,0.0174757906
900.7910385463,6.1341412231,0.0124686266
925.1084774054,5.8237515152,0.0079255740
936.4547370322,0.0000000000,0.0056080214
957.7403386453,6.1470852352,0.0042080272
987.3236992634,0.0000000000,0.0019737575
994.8194836558,0.0000000000,0.0016758836
0.0000000000,19.7594036855,0.0022984521
21.4259760597,16.2039459088,0.0033939634
32.0654976542,18.7031440180,0.0044789296
57.9080571663,21.0614595793,0.0079432008
87.2495668084,23.0478985142,0.0144674051
100.2478629291,21.8814839905,0.0178469862
122.8192013192,12.8638862916,0.0217171961
146.3925281609,24.4795118513,0.0408299069
165.9922109462,24.7659699391,0.0554209054
178.2780625103,18.3836613171,0.0578743507
193.6565934994,22.1486330510,0.0777258141
212.9959651459,13.0775618535,0.0825751017
235.3402109671,14.5968510044,0.1122196747
257.4408584357,12.8412096622,0.1386042439
272.0037325104,14.4202389165,0.1670071329
293.6234298884,17.8177587526,0.2213603855
312.4080141867,25.9893180380,0.3104067992
341.8251038046,14.3768077653,0.3037718609
356.0361241049,17.5582327369,0.3578568698
377.8266150325,13.9654756922,0.3767882498
405.5829908238,27.8896435473,0.5792609194
419.4558313466,19.7413545027,0.5145241964
433.3741545849,13.6350018680,0.4722903891
457.4821734119,16.2361102675,0.5296104642
485.2616860499,14.5830177684,0.5294739841
