# Six-column x,y,z,u,v,w profile, z above ground.
# u = 2 + 0.010 z and v = 1 + 0.005 z are both positive, so the
# flow enters through xlo and ylo -- which the boundary
# classification must work out from the field alone, since
# userfile mode has no inflow.u_ref / inflow.v_ref to test.
x,y,z,u,v,w
0.000000,0.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
0.000000,0.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
0.000000,0.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
0.000000,0.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
0.000000,0.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
0.000000,0.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
0.000000,0.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
0.000000,0.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
0.000000,0.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
0.000000,250.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
0.000000,250.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
0.000000,250.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
0.000000,250.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
0.000000,250.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
0.000000,250.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
0.000000,250.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
0.000000,250.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
0.000000,250.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
0.000000,500.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
0.000000,500.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
0.000000,500.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
0.000000,500.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
0.000000,500.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
0.000000,500.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
0.000000,500.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
0.000000,500.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
0.000000,500.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
0.000000,750.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
0.000000,750.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
0.000000,750.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
0.000000,750.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
0.000000,750.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
0.000000,750.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
0.000000,750.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
0.000000,750.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
0.000000,750.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
0.000000,1000.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
0.000000,1000.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
0.000000,1000.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
0.000000,1000.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
0.000000,1000.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
0.000000,1000.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
0.000000,1000.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
0.000000,1000.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
0.000000,1000.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
250.000000,0.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
250.000000,0.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
250.000000,0.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
250.000000,0.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
250.000000,0.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
250.000000,0.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
250.000000,0.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
250.000000,0.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
250.000000,0.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
250.000000,250.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
250.000000,250.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
250.000000,250.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
250.000000,250.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
250.000000,250.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
250.000000,250.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
250.000000,250.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
250.000000,250.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
250.000000,250.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
250.000000,500.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
250.000000,500.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
250.000000,500.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
250.000000,500.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
250.000000,500.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
250.000000,500.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
250.000000,500.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
250.000000,500.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
250.000000,500.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
250.000000,750.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
250.000000,750.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
250.000000,750.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
250.000000,750.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
250.000000,750.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
250.000000,750.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
250.000000,750.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
250.000000,750.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
250.000000,750.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
250.000000,1000.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
250.000000,1000.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
250.000000,1000.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
250.000000,1000.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
250.000000,1000.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
250.000000,1000.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
250.000000,1000.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
250.000000,1000.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
250.000000,1000.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
500.000000,0.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
500.000000,0.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
500.000000,0.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
500.000000,0.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
500.000000,0.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
500.000000,0.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
500.000000,0.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
500.000000,0.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
500.000000,0.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
500.000000,250.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
500.000000,250.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
500.000000,250.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
500.000000,250.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
500.000000,250.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
500.000000,250.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
500.000000,250.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
500.000000,250.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
500.000000,250.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
500.000000,500.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
500.000000,500.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
500.000000,500.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
500.000000,500.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
500.000000,500.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
500.000000,500.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
500.000000,500.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
500.000000,500.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
500.000000,500.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
500.000000,750.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
500.000000,750.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
500.000000,750.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
500.000000,750.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
500.000000,750.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
500.000000,750.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
500.000000,750.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
500.000000,750.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
500.000000,750.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
500.000000,1000.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
500.000000,1000.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
500.000000,1000.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
500.000000,1000.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
500.000000,1000.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
500.000000,1000.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
500.000000,1000.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
500.000000,1000.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
500.000000,1000.000000,800.000000,10.0000000000,5.0000000000,0.0000000000
750.000000,0.000000,1.000000,2.0100000000,1.0050000000,0.0000000000
750.000000,0.000000,5.000000,2.0500000000,1.0250000000,0.0000000000
750.000000,0.000000,10.000000,2.1000000000,1.0500000000,0.0000000000
750.000000,0.000000,25.000000,2.2500000000,1.1250000000,0.0000000000
750.000000,0.000000,50.000000,2.5000000000,1.2500000000,0.0000000000
750.000000,0.000000,100.000000,3.0000000000,1.5000000000,0.0000000000
750.000000,0.000000,200.000000,4.0000000000,2.0000000000,0.0000000000
750.000000,0.000000,400.000000,6.0000000000,3.0000000000,0.0000000000
