# FastWindTerrain synthetic terrain -- shape = hill
# generated by tools/make_terrain.py; do not edit by hand
# domain: [0.0, 1000.0] x [0.0, 1000.0] m, 51 x 51 points, dx = 20.0 m, dy = 20.0 m
# params: base=0.0, peak=100.0, sigma=150.0, slope_x=0.1, slope_y=0.0, xc=500.0, xlo=0.0, yc=500.0, ylo=0.0
x,y,z
0.0000000000,0.0000000000,0.0014945339
20.0000000000,0.0000000000,0.0023102827
40.0000000000,0.0000000000,0.0035083565
60.0000000000,0.0000000000,0.0052338528
80.0000000000,0.0000000000,0.0076704088
100.0000000000,0.0000000000,0.0110431945
120.0000000000,0.0000000000,0.0156188891
140.0000000000,0.0000000000,0.0217012510
160.0000000000,0.0000000000,0.0296209245
180.0000000000,0.0000000000,0.0397183920
200.0000000000,0.0000000000,0.0523195397
220.0000000000,0.0000000000,0.0677041642
240.0000000000,0.0000000000,0.0860688612
260.0000000000,0.0000000000,0.1074869999
280.0000000000,0.0000000000,0.1318697053
300.0000000000,0.0000000000,0.1589327283
320.0000000000,0.0000000000,0.1881745349
340.0000000000,0.0000000000,0.2188706729
360.0000000000,0.0000000000,0.2500883746
380.0000000000,0.0000000000,0.2807234187
400.0000000000,0.0000000000,0.3095586852
420.0000000000,0.0000000000,0.3353409204
440.0000000000,0.0000000000,0.3568694075
460.0000000000,0.0000000000,0.3730880138
480.0000000000,0.0000000000,0.3831708681
500.0000000000,0.0000000000,0.3865920139
520.0000000000,0.0000000000,0.3831708681
540.0000000000,0.0000000000,0.3730880138
560.0000000000,0.0000000000,0.3568694075
580.0000000000,0.0000000000,0.3353409204
600.0000000000,0.0000000000,0.3095586852
620.0000000000,0.0000000000,0.2807234187
640.0000000000,0.0000000000,0.2500883746
660.0000000000,0.0000000000,0.2188706729
680.0000000000,0.0000000000,0.1881745349
700.0000000000,0.0000000000,0.1589327283
720.0000000000,0.0000000000,0.1318697053
740.0000000000,0.0000000000,0.1074869999
760.0000000000,0.0000000000,0.0860688612
780.0000000000,0.0000000000,0.0677041642
800.0000000000,0.0000000000,0.0523195397
820.0000000000,0.0000000000,0.0397183920
840.0000000000,0.0000000000,0.0296209245
860.0000000000,0.0000000000,0.0217012510
880.0000000000,0.0000000000,0.0156188891
900.0000000000,0.0000000000,0.0110431945
920.0000000000,0.0000000000,0.0076704088
940.0000000000,0.0000000000,0.0052338528
960.0000000000,0.0000000000,0.0035083565
980.0000000000,0.0000000000,0.0023102827
1000.0000000000,0.0000000000,0.0014945339
0.0000000000,20.0000000000,0.0023102827
20.0000000000,20.0000000000,0.0035712850
40.0000000000,20.0000000000,0.0054232933
60.0000000000,20.0000000000,0.0080906028
80.0000000000,20.0000000000,0.0118570836
100.0000000000,20.0000000000,0.0170708087
120.0000000000,20.0000000000,0.0241440163
140.0000000000,20.0000000000,0.0335462628
160.0000000000,20.0000000000,0.0457886652
180.0000000000,20.0000000000,0.0613975486
200.0000000000,20.0000000000,0.0808766751
220.0000000000,20.0000000000,0.1046585601
240.0000000000,20.0000000000,0.1330471056
260.0000000000,20.0000000000,0.1661557273
280.0000000000,20.0000000000,0.2038470401
300.0000000000,20.0000000000,0.2456816460
320.0000000000,20.0000000000,0.2908842626
340.0000000000,20.0000000000,0.3383350160
360.0000000000,20.0000000000,0.3865920139
380.0000000000,20.0000000000,0.4339483271
400.0000000000,20.0000000000,0.4785225053
420.0000000000,20.0000000000,0.5183772416
440.0000000000,20.0000000000,0.5516564421
460.0000000000,20.0000000000,0.5767275143
480.0000000000,20.0000000000,0.5923138083
500.0000000000,20.0000000000,0.5976022895
520.0000000000,20.0000000000,0.5923138083
540.0000000000,20.0000000000,0.5767275143
560.0000000000,20.0000000000,0.5516564421
580.0000000000,20.0000000000,0.5183772416
600.0000000000,20.0000000000,0.4785225053
620.0000000000,20.0000000000,0.4339483271
640.0000000000,20.0000000000,0.3865920139
660.0000000000,20.0000000000,0.3383350160
680.0000000000,20.0000000000,0.2908842626
700.0000000000,20.0000000000,0.2456816460
720.0000000000,20.0000000000,0.2038470401
740.0000000000,20.0000000000,0.1661557273
760.0000000000,20.0000000000,0.1330471056
780.0000000000,20.0000000000,0.1046585601
800.0000000000,20.0000000000,0.0808766751
820.0000000000,20.0000000000,0.0613975486
840.0000000000,20.0000000000,0.0457886652
860.0000000000,20.0000000000,0.0335462628
880.0000000000,20.0000000000,0.0241440163
900.0000000000,20.0000000000,0.0170708087
920.0000000000,20.0000000000,0.0118570836
940.0000000000,20.0000000000,0.0080906028
960.0000000000,20.0000000000,0.0054232933
980.0000000000,20.0000000000,0.0035712850
1000.0000000000,20.0000000000,0.0023102827
0.0000000000,40.0000000000,0.0035083565
20.0000000000,40.0000000000,0.0054232933
40.0000000000,40.0000000000,0.0082357219
60.0000000000,40.0000000000,0.0122862533
80.0000000000,40.0000000000,0.0180059677
100.0000000000,40.0000000000,0.0259234428
120.0000000000,40.0000000000,0.0366646969
140.0000000000,40.0000000000,0.0509427902
160.0000000000,40.0000000000,0.0695338966
180.0000000000,40.0000000000,0.0932372842
200.0000000000,40.0000000000,0.1228179580
220.0000000000,40.0000000000,0.1589327283
240.0000000000,40.0000000000,0.2020430959
260.0000000000,40.0000000000,0.2523212918
280.0000000000,40.0000000000,0.3095586852
300.0000000000,40.0000000000,0.3730880138
320.0000000000,40.0000000000,0.4417319467
340.0000000000,40.0000000000,0.5137898624
360.0000000000,40.0000000000,0.5870721276
380.0000000000,40.0000000000,0.6589866279
400.0000000000,40.0000000000,0.7266762249
420.0000000000,40.0000000000,0.7871989568
440.0000000000,40.0000000000,0.8377361908
460.0000000000,40.0000000000,0.8758086992
480.0000000000,40.0000000000,0.8994777830
500.0000000000,40.0000000000,0.9075087816
520.0000000000,40.0000000000,0.8994777830
540.0000000000,40.0000000000,0.8758086992
560.0000000000,40.0000000000,0.8377361908
580.0000000000,40.0000000000,0.7871989568
600.0000000000,40.0000000000,0.7266762249
620.0000000000,40.0000000000,0.6589866279
640.0000000000,40.0000000000,0.5870721276
660.0000000000,40.0000000000,0.5137898624
680.0000000000,40.0000000000,0.4417319467
700.0000000000,40.0000000000,0.3730880138
720.0000000000,40.0000000000,0.3095586852
740.0000000000,40.0000000000,0.2523212918
760.0000000000,40.0000000000,0.2020430959
780.0000000000,40.0000000000,0.1589327283
800.0000000000,40.0000000000,0.1228179580
820.0000000000,40.0000000000,0.0932372842
840.0000000000,40.0000000000,0.0695338966
860.0000000000,40.0000000000,0.0509427902
880.0000000000,40.0000000000,0.0366646969
900.0000000000,40.0000000000,0.0259234428
920.0000000000,40.0000000000,0.0180059677
940.0000000000,40.0000000000,0.0122862533
960.0000000000,40.0000000000,0.0082357219
980.0000000000,40.0000000000,0.0054232933
1000.0000000000,40.0000000000,0.0035083565
0.0000000000,60.0000000000,0.0052338528
20.0000000000,60.0000000000,0.0080906028
40.0000000000,60.0000000000,0.0122862533
60.0000000000,60.0000000000,0.0183289361
80.0000000000,60.0000000000,0.0268617473
100.0000000000,60.0000000000,0.0386732322
120.0000000000,60.0000000000,0.0546973003
140.0000000000,60.0000000000,0.0759977126
160.0000000000,60.0000000000,0.1037323842
180.0000000000,60.0000000000,0.1390936834
200.0000000000,60.0000000000,0.1832228630
220.0000000000,60.0000000000,0.2370997694
240.0000000000,60.0000000000,0.3014128804
260.0000000000,60.0000000000,0.3764191348
280.0000000000,60.0000000000,0.4618072920
300.0000000000,60.0000000000,0.5565819134
320.0000000000,60.0000000000,0.6589866279
340.0000000000,60.0000000000,0.7664844061
360.0000000000,60.0000000000,0.8758086992
380.0000000000,60.0000000000,0.9830925269
400.0000000000,60.0000000000,1.0840735395
420.0000000000,60.0000000000,1.1743628457
440.0000000000,60.0000000000,1.2497555395
460.0000000000,60.0000000000,1.3065530479
480.0000000000,60.0000000000,1.3418631717
500.0000000000,60.0000000000,1.3538440137
520.0000000000,60.0000000000,1.3418631717
540.0000000000,60.0000000000,1.3065530479
560.0000000000,60.0000000000,1.2497555395
580.0000000000,60.0000000000,1.1743628457
600.0000000000,60.0000000000,1.0840735395
620.0000000000,60.0000000000,0.9830925269
640.0000000000,60.0000000000,0.8758086992
660.0000000000,60.0000000000,0.7664844061
680.0000000000,60.0000000000,0.6589866279
700.0000000000,60.0000000000,0.5565819134
720.0000000000,60.0000000000,0.4618072920
740.0000000000,60.0000000000,0.3764191348
760.0000000000,60.0000000000,0.3014128804
780.0000000000,60.0000000000,0.2370997694
800.0000000000,60.0000000000,0.1832228630
820.0000000000,60.0000000000,0.1390936834
840.0000000000,60.0000000000,0.1037323842
860.0000000000,60.0000000000,0.0759977126
880.0000000000,60.0000000000,0.0546973003
