# FastWindTerrain synthetic terrain -- shape = hill
# generated by tools/make_terrain.py; do not edit by hand
# domain: [0.0, 1000.0] x [0.0, 1000.0] m, 51 x 51 points, dx = 20.0 m, dy = 20.0 m
# params: base=0.0, peak=150.0, sigma=120.0, slope_x=0.1, slope_y=0.0, xc=500.0, xlo=0.0, yc=500.0, ylo=0.0
x,y,z
0.0000000000,0.0000000000,0.0000043277
20.0000000000,0.0000000000,0.0000085471
40.0000000000,0.0000000000,0.0000164178
60.0000000000,0.0000000000,0.0000306725
80.0000000000,0.0000000000,0.0000557340
100.0000000000,0.0000000000,0.0000984979
120.0000000000,0.0000000000,0.0001693049
140.0000000000,0.0000000000,0.0002830406
160.0000000000,0.0000000000,0.0004602185
180.0000000000,0.0000000000,0.0007278062
200.0000000000,0.0000000000,0.0011194472
220.0000000000,0.0000000000,0.0016746644
240.0000000000,0.0000000000,0.0024366223
260.0000000000,0.0000000000,0.0034481402
280.0000000000,0.0000000000,0.0047458923
300.0000000000,0.0000000000,0.0063531206
320.0000000000,0.0000000000,0.0082716584
340.0000000000,0.0000000000,0.0104745251
360.0000000000,0.0000000000,0.0129006728
380.0000000000,0.0000000000,0.0154534923
400.0000000000,0.0000000000,0.0180043392
420.0000000000,0.0000000000,0.0204015891
440.0000000000,0.0000000000,0.0224846986
460.0000000000,0.0000000000,0.0241016297
480.0000000000,0.0000000000,0.0251270795
500.0000000000,0.0000000000,0.0254785015
520.0000000000,0.0000000000,0.0251270795
540.0000000000,0.0000000000,0.0241016297
560.0000000000,0.0000000000,0.0224846986
580.0000000000,0.0000000000,0.0204015891
600.0000000000,0.0000000000,0.0180043392
620.0000000000,0.0000000000,0.0154534923
640.0000000000,0.0000000000,0.0129006728
660.0000000000,0.0000000000,0.0104745251
680.0000000000,0.0000000000,0.0082716584
700.0000000000,0.0000000000,0.0063531206
720.0000000000,0.0000000000,0.0047458923
740.0000000000,0.0000000000,0.0034481402
760.0000000000,0.0000000000,0.0024366223
780.0000000000,0.0000000000,0.0016746644
800.0000000000,0.0000000000,0.0011194472
820.0000000000,0.0000000000,0.0007278062
840.0000000000,0.0000000000,0.0004602185
860.0000000000,0.0000000000,0.0002830406
880.0000000000,0.0000000000,0.0001693049
